onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
10.667	0.083	SACC	1622.6	908.9	1879.7	955.4	3.352	182.288	3.630	41.158
10.750	0.183	FIXA	1880.4	955.4	1885.0	954.3	0.061	4.618	1.770	1.823
10.933	0.050	SACC	1881.2	954.3	1347.2	985.2	6.861	244.090	167.609	138.208
10.983	0.183	FIXA	1339.2	985.2	1328.8	971.9	0.217	13.777	2.635	3.418
11.167	0.067	SACC	1314.3	971.9	995.2	881.1	4.256	236.883	15.547	69.784
11.233	0.200	FIXA	995.2	882.7	1002.7	884.4	0.099	1.973	0.231	0.677
11.433	0.067	SACC	1003.0	880.9	1213.1	865.8	2.702	162.124	1.352	41.207
11.500	0.017	HPSO	1213.1	862.9	1213.1	862.9	0.000	2.232	2.232	2.232
11.517	0.050	FIXA	1244.5	858.6	1242.6	858.6	0.024	24.393	1.462	8.618
11.567	0.250	SACC	1242.6	855.2	1109.4	921.2	1.907	230.899	6.761	65.267
11.817	0.117	FIXA	1109.4	920.4	1108.2	922.6	0.032	3.585	0.616	1.304
11.933	0.067	ISAC	1107.5	922.6	1000.4	925.0	1.374	73.272	4.813	20.859
12.000	0.183	FIXA	1000.4	925.0	1002.6	915.9	0.120	3.459	0.861	1.423
12.183	0.067	ISAC	1005.7	919.4	1032.1	852.9	0.918	55.797	2.338	15.311
12.250	0.117	FIXA	1032.1	852.9	1046.6	842.2	0.231	6.448	2.078	2.249
12.367	0.067	SACC	1043.7	842.7	1175.1	797.7	1.782	72.769	19.613	27.999
12.433	0.200	FIXA	1175.1	797.7	1165.9	793.2	0.131	4.387	0.622	1.233
12.633	0.050	ISAC	1163.8	791.0	1071.8	819.6	1.236	72.537	2.341	25.524
12.683	0.467	FIXA	1071.8	819.6	1060.9	833.6	0.228	7.689	1.501	1.797
13.150	0.083	ISAC	1060.9	835.5	1026.8	882.7	0.747	39.909	1.462	9.968
13.233	0.683	FIXA	1026.8	882.7	1031.5	884.3	0.064	5.124	0.847	1.220
13.917	0.050	ISAC	1036.9	883.1	1025.2	957.3	0.964	57.815	4.258	20.691
13.967	0.250	FIXA	1025.2	957.3	1029.3	949.2	0.116	7.697	1.512	2.396
