subject_id,game_difficulty,world_number,time,score,experience,game_status
JO03SA,hard,2,20301.0,24119.0,3,won
JO03SA,hard,3,49697.0,24119.0,3,won
JO03SA,hard,4,46208.0,24119.0,3,won
JO03SA,hard,5,31870.0,24119.0,3,won
JO03SA,hard,6,66503.0,24119.0,3,won
JO03SA,hard,7,31151.0,24119.0,3,lost
JO03SA,hard,8,30790.0,24119.0,3,won
JO03SA,hard,9,54943.0,24119.0,3,won
JO03SA,hard,10,74979.0,24119.0,3,timed_out
JO03SA,hard,11,22009.0,24119.0,3,lost
JO03SA,hard,12,74971.0,24119.0,3,timed_out
JO03SA,hard,13,35350.0,24119.0,3,won
JO03SA,hard,14,5218.0,24119.0,3,lost
JO03SA,hard,15,44448.0,24119.0,3,won
JO03SA,hard,16,72810.0,24119.0,3,lost
JO03SA,hard,17,43764.0,24119.0,3,won
JO03SA,hard,18,2093.0,24119.0,3,lost
JO03SA,hard,19,33595.0,24119.0,3,won
KR07HA,easy,0,40605.0,15804.626,3,won
KR07HA,easy,1,6639.0,15804.626,3,lost
KR07HA,easy,2,20289.0,15804.626,3,won
KR07HA,easy,3,52505.0,15804.626,3,won
KR07HA,easy,4,33949.0,15804.626,3,won
KR07HA,easy,5,11530.0,15804.626,3,lost
KR07HA,easy,6,6636.0,15804.626,3,lost
KR07HA,easy,7,25545.0,15804.626,3,lost
KR07HA,easy,8,34652.0,15804.626,3,won
KR07HA,easy,9,29385.0,15804.626,3,won
KR07HA,easy,10,61265.0,15804.626,3,won
KR07HA,easy,11,18185.0,15804.626,3,won
KR07HA,easy,12,23099.0,15804.626,3,won
KR07HA,easy,13,33949.0,15804.626,3,won
KR07HA,easy,14,50050.0,15804.626,3,won
KR07HA,easy,15,74970.0,15804.626,3,timed_out
KR07HA,easy,16,43043.0,15804.626,3,won
KR07HA,easy,17,33596.0,15804.626,3,won
KR07HA,easy,18,22400.0,15804.626,3,won
KR07HA,easy,19,47958.0,15804.626,3,won
KR07HA,normal,0,33603.0,15804.626,3,won
KR07HA,normal,1,66859.0,15804.626,3,won
KR07HA,normal,2,74970.0,15804.626,3,timed_out
KR07HA,normal,3,72128.0,15804.626,3,won
KR07HA,normal,4,26587.0,15804.626,3,won
KR07HA,normal,5,33939.0,15804.626,3,won
KR07HA,normal,6,74974.0,15804.626,3,timed_out
KR07HA,normal,7,41300.0,15804.626,3,won
KR07HA,normal,8,42710.0,15804.626,3,lost
KR07HA,normal,9,74971.0,15804.626,3,timed_out
KR07HA,normal,10,49353.0,15804.626,3,won
KR07HA,normal,11,39207.0,15804.626,3,lost
KR07HA,normal,12,3834.0,15804.626,3,lost
KR07HA,normal,13,61250.0,15804.626,3,won
KR07HA,normal,14,7466.0,15804.626,3,lost
KR07HA,normal,15,25550.0,15804.626,3,won
KR07HA,normal,16,29394.0,15804.626,3,won
KR07HA,normal,17,17488.0,15804.626,3,lost
KR07HA,normal,18,55304.0,15804.626,3,won
KR07HA,normal,19,56016.0,15804.626,3,lost
KR07HA,hard,0,36395.0,15804.626,3,won
KR07HA,hard,1,7327.0,15804.626,3,lost
KR07HA,hard,2,40603.0,15804.626,3,won
KR07HA,hard,3,19935.0,15804.626,3,lost
KR07HA,hard,4,15735.0,15804.626,3,lost
KR07HA,hard,5,21254.0,15804.626,3,lost
KR07HA,hard,6,41306.0,15804.626,3,won
KR07HA,hard,7,11191.0,15804.626,3,lost
KR07HA,hard,8,11192.0,15804.626,3,lost
KR07HA,hard,9,17844.0,15804.626,3,lost
KR07HA,hard,10,15394.0,15804.626,3,lost
KR07HA,hard,11,8729.0,15804.626,3,lost
KR07HA,hard,12,41301.0,15804.626,3,won
KR07HA,hard,13,34298.0,15804.626,3,won
KR07HA,hard,14,24857.0,15804.626,3,lost
